zip,city,median_sale_price,median_ppsf,homes_sold,periods
93060,,757070,424.7,129,4
93062,,840167,534.5,3,2
93063,,857540,478.2,335,4
93065,,868014,487.6,543,4
93066,,1800676,556.7,17,4
93067,,2180000,1525.5,3,3
93101,,1552267,1268.4,88,4
93103,,2712462,1380.7,80,4
93105,,2139691,1182.4,178,4
93108,,6067980,1790.5,151,4
93109,,2746129,1552.4,93,4
93110,,2405587,1131.0,92,4
93111,,1775849,981.7,119,4
93117,,1561272,888.8,116,4
93130,,1810000,1256.1,1,1
93150,,22575000,3044.5,4,2
93160,,1470000,682.8,1,1
93201,,183000,165.8,5,4
93202,,325778,231.6,27,4
93203,,339360,225.1,25,4
93204,,321944,220.2,36,4
93205,,232466,172.8,15,4
93206,,184833,131.3,6,4
93207,,177567,172.0,9,3
93210,,297643,205.3,105,4
93212,,294059,211.4,82,4
93215,,347077,244.7,130,4
93218,,255500,169.5,2,1
93219,,271429,271.3,7,2
93221,,423004,264.8,127,4
93222,,372308,233.2,13,4
93223,,296388,242.7,40,4
93224,,157000,153.1,2,1
93225,,318304,236.4,51,4
93226,,277500,227.8,2,2
93227,,392630,214.1,3,2
93230,,378024,241.2,642,4
93234,,333571,193.1,7,3
93235,,316889,273.3,9,4
93238,,374250,237.0,20,4
93239,,176500,147.1,2,2
93240,,263453,183.3,64,4
93241,,258036,221.5,28,4
93242,,481583,248.5,6,3
93243,,382400,238.0,10,4
93244,,515000,276.5,2,1
93245,,380881,231.6,236,4
93247,,325795,234.4,44,4
93249,,330000,269.4,1,1
93250,,328148,251.7,27,4
93252,,210925,193.3,16,4
93254,,271333,191.6,9,4
93255,,1265000,481.9,2,2
93256,,275625,240.5,16,4
93257,,352134,232.1,411,4
93260,,161833,163.0,12,3
93261,,282500,218.0,2,1
93263,,415916,232.1,193,4
93265,,340903,208.2,72,4
93266,,228333,259.6,6,3
93267,,365871,250.6,17,4
93268,,228118,187.7,127,4
93270,,425417,238.8,12,4
93271,,641944,333.1,36,4
93272,,237238,196.3,8,4
93274,,373826,234.0,553,4
93277,,376325,239.4,431,4
93280,,316308,233.5,65,4
93283,,176944,161.4,4,2
93285,,211767,187.3,43,4
93286,,373180,230.7,84,4
93287,,3336667,365.2,3,2
93290,,380000,227.1,2,2
93291,,424342,244.5,620,4
93292,,410393,243.2,357,4
93301,,385409,245.0,55,4
93304,,302516,241.4,277,4
93305,,287751,229.0,197,4
93306,,368782,217.3,554,4
93307,,342966,246.3,443,4
93308,,338055,239.3,523,4
93309,,364924,229.8,396,4
93311,,485217,241.8,621,4
93312,,451966,245.1,560,4
93313,,424680,232.5,481,4
93314,,563915,248.2,447,4
93384,,320000,247.7,2,2
93389,,331000,206.8,3,3
93401,,1225276,654.4,203,4
93402,,902870,594.4,115,4
93405,,1164672,662.2,116,4
93420,,1110573,559.2,253,4
93422,,847799,468.8,271,4
93424,,1500000,1065.0,3,1
93426,,620319,365.7,36,4
93427,,1032064,534.8,47,4
93428,,955833,673.5,108,4
93430,,1385889,829.0,36,4
93432,,799438,394.7,8,4
93433,,810962,589.8,104,4
93434,,638865,412.9,37,4
93436,,607153,383.8,321,4
93440,,876882,495.8,17,4
93441,,1728833,866.0,6,3
93442,,1020075,716.6,107,4
93444,,1064448,520.7,192,4
93445,,759364,554.8,44,4
93446,,787782,442.0,489,4
93448,,833750,714.6,2,1
93449,,1407990,798.0,102,4
93450,,245000,192.9,2,2
93451,,639487,385.0,39,4
93452,,2380000,746.8,1,1
93453,,852348,494.3,23,4
93454,,641105,404.7,172,4
93455,,762168,409.7,351,4
93458,,622810,425.9,100,4
93460,,2128120,772.1,50,4
93461,,467179,374.5,14,4
93463,,1737705,693.7,61,4
93465,,1052617,516.0,81,4
93501,,281609,209.0,32,4
93505,,297559,189.7,256,4
93510,,819926,394.6,68,4
93516,,204000,173.9,15,4
93518,,293533,235.8,9,4
93523,,157727,126.8,11,4
93527,,299500,174.3,20,4
93528,,38000,112.5,3,1
93531,,568600,268.4,10,4
93532,,451818,322.5,44,4
93534,,419552,292.7,324,4
93535,,435221,268.0,597,4
93536,,543628,263.8,751,4
93543,,500747,323.9,93,4
93544,,348357,207.1,14,4
93550,,456554,309.0,386,4
